uuid,Title,Author,Year of publication
0ccb8b58-3c52-db1c-32bf-91e09e78507b,'Een stille leerschool van deugd en goede zeden'. Vrijmetselarij in Nederland in de 18e en 19e eeuw,,1995
224cedf1-4777-e747-c82b-2769c22ab663,'Ex Libris'. De bibliotheek van Anna Maria Schurman en de catalogi van de Labadistenbibliotheek,"Schurman, Anna Maria van",2016
6ecddcc9-2eda-d5ef-4ad6-2c08eafbb0a9,'Flying Rolls' de l'ordre hermétique de la Golden Dawn. Gnose des Rose-Croix du XIXe siècle,,2006
9435a7c1-da4e-588b-bb3c-a15e63070a03,'Gij weet van mijn zitten'. Oosterse zen voor westerse christenen,"Luiken, M.",2000
3f96dbd0-7ba6-2026-2bc5-155618af8622,'Gott Haben' in der Antike und im frühen Christentum. Eine religions- und begriffsgeschichtliche Untersuchung,"Hanse, Hermann",1939
67a6f650-69dd-9550-56af-123e8bdf06b3,'Hadewid Greca' te Merksem in 1212. Een historische reconstructie van de biografie van Hadewijch,"Devreese, Daniel",2010
910683a3-2d80-41b1-9b80-7e1d922cd199,'Ik moet spreken'. Het spiritueel leiderschap van Antoinette Bourignon (1616-1680),"Baar, Mirjam de",2004
40467605-2ac2-0127-9f16-70c39366706b,'In de greep van het theologisch-politiek probleem'. Leo Strauss en Spinoza,"Janssens, David",2005
0f772da4-35c5-fd7a-02e7-a6ebbefe21cf,'In Gott ist alle Wollust'. Zur Mystik Friedrich Spees,"Meinke, Anja",1994
d75d60bf-b34c-2e94-9a40-dfe1979f2768,'Jullie zijn allemaal verlicht . . . tot je je mond opendoet'. Uitspraken van Shunryu Suziku verzameld door David Chadwick,"Suzuki, Shunryu",2002
ec3861d1-9293-63cb-5afa-2ccd898037e8,'Maak gebeden van mijn verhalen' Verhalen van rabbi Nachman van Bratzlaw,"Tijn, Maartje van",1989
9ded01b9-12a9-1598-d352-bf2ee811da0f,"'No religion higher than truth': A history of the theosophical movement in Russia, 1875-1922","Carlson, Maria",1993
8650e92e-dc81-84ed-ee36-b00f95523894,'Over de macht van het verstand' De rol van de remedies in het vijfde deel van Spinoza's Ethica,"Bartels, Jeroen",2019
be5db90b-b8db-ef56-33f5-a53c18f7f60d,"'s Levens felheid. De Meester van het Amsterdamse Kabinet of de Hausbuch-meester, ca. 1470-1500","Boon, K.G|Filedt Kok, J.P|Haga, M.D|Hutchison, Jane C|Madou, M.J.H|Moxey, Keith P.F|Moraw, Peter",1985
458bc5da-63a6-fb1f-d2f0-bf9b9b959667,'Spirits' of various kinds,"Blavatsky, H.P",1915
ed924355-7df2-5a9b-3bde-4a0576cb5f24,'t Nieuwe Jerusalem,"Teellinck, Willem",1651
cca54902-923d-1f15-23c8-e9d5d73b435e,"'Tao Teh King van Lao Tse in het Hollandsch overgebracht'. Nederlandse vertalingen van de Laozi uit de verzamelingvan J.P. Gumbert, Lopik",,2002
7f4d963c-bf1e-4b88-1714-e862c5c3c7ce,'tgasthuys-boec,"Paracelsus, Theophrastus",1629
fa07d544-71ce-03c0-1f32-7859e739d015,'The teachings of Silvanus' and Clement of Alexandria. A new document of Alexandrian theology,"Zandee, J.",1977
2dff125d-f552-d1b8-6fbd-3a684e42fa3c,'Tussen Spinoza en Kant moet de strijd gestreden worden'. De tegenpolen van het moderne denken,"Krop, Henri",2018
3a65bee7-ec08-56e1-5711-44417213015a,'Verslonden door zijn liefde'. Een onbekende brief van Anna Maria van Schurman aan Petrus Montanus (1669),"Schurman, Anna Maria van",2015
d9b61f28-e7db-ac39-d661-09e4438cbdaf,(Oculus fidei) Theologia naturalis,"Sabunde, Raimundus de",1661
127e977a-28fb-71e3-95a8-df91f761010b,... en de twee zullen één zijn. Over het samengaan van het vrouwelijke en het mannelijke,"Slavenburg, Jacob",1998
aa899cb3-6edf-c805-bf32-ce4e374a3713,... und die Spree führt Gold. Leonard Thurneysser zum Thurn. Astrologe - Alchimist - Arzt und Drucker im Berlin des 16. Jahrhunderts,"Spitzer, Gabriele",1996
0f0a9791-ac9e-eb14-2c9c-38da556fb241,"... voilà comment Dieu guérit. La médecine de sainte Hildegarde de Bingen, nouvelle méthode de guérison par la nature","Hertzka, Gottfried",1987
8c5c5463-ffa0-1d4e-657e-599f84cbd151,100 Jahre 'Theosophische Gesellschaft'. Ein geschichtlicher Überblick,"Fischer, H.R.",1973
aee127c9-931e-568c-229c-17df76c50a8a,100 woorden over de Ethica van Spinoza,"Misrahi, Robert",2007
f03ef17d-de3a-8495-1e77-2d7b6591b00e,12 Grund-Säulen der Natur und Kunst,"Erbinaeus von Brandau, Matthaeus",1689
e15ea2b2-d2d3-e5d2-48b3-213eeea95037,"12 Predicatien, tegens de boose werelt","Fabricius, Adolphus",1662
0c3489a3-2961-1dca-5871-6f55e39a0846,"1209-2009. Cathares: une histoire à pacifier? Actes du colloque international renu à Mamazet les 15, 16 et 17 mai 2009",,2010
d8cb13c5-40e0-ade8-f967-5bf8a6658040,13 Kapitel Liebe aus der Hölle. Werkausgabe 1,"Leppin, Paul",2007
a9774caa-4e66-03cc-2ab6-5a2c78519bc8,13 psi stories. Geschichten aus dem Reich des Übersinnlichen,,1976
dc96e7fe-1b45-5ee6-42ca-49d8674a606e,"150 Jahre Carl Schünemann, Bremen. Die Geschichte eines Bremer Druck- und Verlagshauses","Bessel, Georg|Wien, Werner",1960
64fbd47b-737e-d130-862f-90376aa5357a,1589-1989. Labore et constantia. A collection of 510 editions issued by Christopher Plantin from 1555 till 1589,"Sorgeloos, Claude",1990
0a48d215-3629-9514-faa8-23f685f1b702,17 charmante Geschichten,,1976
ff9b0d6b-5386-268b-053f-9157f83db353,18 lebenslustige Geschichten,,1989
0c6e6c7f-adea-8d24-b1c1-8d97959db5bf,1925. Ein Almanach für Kunst und Dichtung aus dem Kurt Wolff Verlag,,1925
4d971e7b-951e-f9f3-ca3f-82309e4d781d,1927-1967. 40 Jahre Rosenkreuzer-Gemeinschaft in Deutschland,Anonymous,1967
4f7f2cc3-956c-ee8d-5510-a059f32c8824,1927-1967. 60 Jahre Rosenkreuzer-Gemeinschaft e. V. in Deutschland,Anonymous,1987
2a9922a1-5769-3561-ccb3-b6acb7ad739a,1927-1977. Ein Rückblick auf die Entstehung und die Tätigkeit der Rosenkreuzer-Gemeinschaft (Rosicrucian Fellowship - gegründet von Max Heindel) in Deutschland,,1977
6a68a9a8-5eaa-9e44-a5e2-899d28d2d428,1959-1965. Der Grosskampf um der Besitz der Erde. Mond-Direktionen enthùllen Weltgeschehen. Tertiär - Direktionen II. Teil,"Troinski, E.H.",1953
b4ba3919-2139-2b6a-41c9-7970a9201453,21st Century Rosicrucianism,"Gordon, Robert",2022
4fd09527-c0e5-8141-2fa4-646299a2baa6,22 Panik stories. Klassische und moderne Geschichten des Grauens,,1979
1aa44d51-a61d-7d6d-befd-0a52c59c3be6,24 december 1980,"Stok-Huizer, Hennie",1980
310fb227-9b50-6d61-61df-2f96a00f0157,24 December 1980,"Stok-Huizer, Hennie",1981
6ab29365-a09e-1a39-5940-f262695c8bca,24 Dezember 1980,"Stok-Huizer, Hennie",1981
28cd682c-a1ff-ca63-8496-14e9ce9dc1eb,24 diciembre 1980,"Petri, Catharose de",1982
130c62da-7e37-d8c6-1148-3f148e742d35,24 décembre 1980,"Stok-Huizer, Hennie",1981
ed94fc15-782c-bfca-d80b-4083805efcaa,"25 years. Jubileum-catalogue April 1978, nr. 111",,1978
c05db038-5688-a3d7-33a0-56ab8488c0ec,27731,"Schneiderfranken, Joseph Anton",1986
2c6f2f1c-cd33-5b12-6e85-30e9707eeedb,280 Paradoxes or Wondrous sayings,"Franck, Sebastian",1986
b7d625c9-6e60-ea88-3e24-aac6e831fde4,3 Enoch or the Hebrew book of Enoch,,1928
5a94b7d3-c20d-4ace-db86-6f577a8bb3c9,365 dagen Tao,"Ming-Dao, Deng",1994
957df0bb-c84b-67ca-e9f8-51d2ea0c56da,365 dagen Zen. Zen-meditaties voor elke dag,,1999
0085960d-9c51-267c-f00f-12e01bb6c74f,40 questions,"Böhme, Jacob",1984
2aa7b542-8949-6a5f-5d94-b3617c81e79c,40 questions concerning the soule. Propounded by dr. Balthasar Walter,"Boehme, Jacob",1647
e12e98f7-3663-f326-acb9-381796a0c136,400 jaar Rozenkruis: De Taal van Aquarius,"Meeter-Bakhuizen, E.|Goud, R.|Spakman, F.|Vries, Y. de|Olsthoorn, G.|Huijs, P.",2004
9b5fe796-f1c4-a715-cdb8-c760bd4e87bd,42 esposizione internazionale d'arte. La Biennale di Venezia. Arte e scienza. General catalogue 1986,,1986
9dd511c4-6571-ef06-e799-9364b492cec7,450 Jaar geheugenkunst in beeld. 1482-1932,"Landwehr, John|Pagée, Pim van",2007
aff14a3f-3bc5-41dd-c317-ebc980577261,450 Jahre Copernicus 'De revolutionibus'. Astronomische und mathematische Bücher aus Schweinfurter Bibliotheken. Ausstellung des Stadarchivs Schweinfurt in Zusammenarbeit mit der Bibliothek Otto Schäfer,,1993
97702a93-7c19-5df6-b895-55ff81840ce0,5 curiose chymische Tractätlein,"Kunckel von Löwenstern, Johann|[Grummet, Christoph]",1721
e3d31d4c-4456-8a9e-4d1e-4dda49533360,50 Homilien oft verclaringhen,Macarius,1580
06980d25-c7a3-3882-9aa7-906cd3719d5c,50 jaar Nag Hammadi en nu? Symposionbundel,"Slavenburg, Jacob|Stufkens, Hein|Glaudemans, Willem|Broek, Roelof van den|Schelling, Piet",1996
70d77397-8854-29f2-339f-37b9154c80b4,"500 occasions livres rares. 1. Sciences occultes 2. Franc-Maçonnerie, sociétés secrètes 3. Astrologie - baguette divinatoire- magie - magnétisme, etc",,1910
dcc9e9fc-1700-7079-8fa1-4a6a7d559735,500 years of gnosis in Europe. Exhibition of printed books and manuscripts from the gnostic tradition,"Gilly, Carlos",1993
509a668f-b174-c5dd-966f-932007c1fd25,515. Le lieu du miroir,"Lima de Freitas, José Maria",1993
