uuid,Title,Author,Year of publication,english_translation,translation_sources,has_scan,scan_sources,google_books_error,internet_archive_error
d269bff2-f7e8-f3bf-51ec-1b5651664711,'Aber von dem Baum der Erkenntnis..' Sinn und Bild der Paradiesesbäume,"Karutz, Richard",1930,False,,False,,,
46b1945c-1eba-be29-843e-ef0f2a0cba86,'AOR'.  R.A. Schwaller de Lubicz Sa vie. Son oeuvre,"Schwaller de Lubicz, Isha",1963,False,,False,,,
257f4425-3a52-ab24-c47c-e4a5809b83ee,'Aureus:' The golden tractate of Hermes Trismegistus. Concerning the physical secret of the philosopher's stone in seven sections,Hermes Trismegistus,1886,True,Google Books:4kAhFV4s0sgC;Google Books:4ytIkgAACAAJ;Google Books:9SGOPwAACAAJ;Google Books:CDZBvgAACAAJ;Google Books:_qGl0AEACAAJ;Google Books:awUDAwAAQBAJ;Google Books:ncs2sJ2b_ccC;Google Books:srYwzwEACAAJ;Google Books:vlMLzQEACAAJ;Google Books:zyYHkAEACAAJ,True,Google Books:4kAhFV4s0sgC;Google Books:awUDAwAAQBAJ;Google Books:ncs2sJ2b_ccC,,
93c9b916-b843-33ac-00d8-e5439d2da8f5,"'Behold, I come quickly.' Revelation","Hall, Marie Bauer",1985,True,Google Books:l0ZtmgEACAAJ,False,,,
2d803977-deee-fa2d-f6e9-1084b32e044e,"'Come per un destino portentoso...'. Frammenti dall'esilio francese. Giunto oltralpe 'sitibondo' di libertà, fra Tommaso annuncia il fatale declino della Spagna e il trionfo della monarchia di Francia","Ernst, Germana",2001,False,,False,,,
71d6e665-6c27-9f33-e986-67ef9463ed67,'Das Angesicht Gottes schauen' nach biblischer und babylonischer Auffassung,"Nötscher, Friedrich|Baudissin, Wolf Wilhelm",1969,True,Google Books:rQfO0AEACAAJ,False,,,
cc4b780f-91cb-4e9a-07e8-f28434614987,"'De Godzoeker in een van positieve godsdienst vervreemde wereld'. De ontvangst van Spinoza in katholieke kringen, 1897-1997","Terpstra, Marin",2021,True,Google Books:OFFbAAAAQAAJ;Google Books:Zr7MzgEACAAJ,True,Google Books:-DYItq_IdrQC;Google Books:KSQCAAAAQAAJ;Google Books:OFFbAAAAQAAJ;Google Books:PAdCTE90Ev8C;Google Books:Wuw8E5xavF0C;Google Books:tUhUAAAAcAAJ,,
962b3ce1-b0f7-3f08-95b9-c4dfd013127f,'De wil van God'. Over een centraal thema in Spinoza's filosofie,"Verbeek, Theo",2000,True,Google Books:2DDXAAAAMAAJ;Google Books:un5ZAAAAcAAJ,True,Google Books:679QCgAAQBAJ;Google Books:KSQCAAAAQAAJ;Google Books:RQVWAAAAcAAJ;Google Books:T3sPAAAAQAAJ;Google Books:p_ovEAAAQBAJ;Google Books:un5ZAAAAcAAJ,,
cd43c1fd-2012-63fd-c075-c619100be5ab,'Der Sohn Gottes'. Eine Untersuchung über den Charakter und die Tendenz des Johannes-Evangeliums,"Wetter, Gillis P",1916,True,Google Books:h-T4MgEACAAJ,True,Google Books:CXgrAAAAYAAJ;Internet Archive:wetter-gillis-p.-der-sohn-gottes.-eine-untersuchung-uber-den-charakter-und-die-t,,
c4a6feba-c510-42f0-6fdf-d6facb76d2d7,'Die Mitten im Winter grünende Pfaltz'. 350 Jahre Wittelsbacher Fürstentum Pfalz Sulzbach. Aufsatzteil und Katalog zur Sonderausstellung des Stadtmuseums Sulzbach-Rosenbergs und des Staatsarchivs Amberg vom 2. Juni - 16. September 2006,,2006,False,,False,,,
