identifier,title,creator,year,subjects,description,language,item_url,preferred_format,download_url,text_available,translation_status,notes
bub_gb_ncowucvRKSEC,Epithalamium Matthaei Andronici Tragurini in nuptias Vladislai inuictissimi ac felicissimi Pannoniarum ac Boemiæ regis & Annæ Candaliæ reginæ serenissimæ,Matteo Andreis,1502,bub_upload,,latin,https://archive.org/details/bub_gb_ncowucvRKSEC,PDF,https://archive.org/download/bub_gb_ncowucvRKSEC/bub_gb_ncowucvRKSEC.pdf,likely,not-started,
bub_gb_W9kzIJuqvRcC,Scansiones Sulpitii,Giovanni Sulpizio,1502,bub_upload,,latin,https://archive.org/details/bub_gb_W9kzIJuqvRcC,PDF,https://archive.org/download/bub_gb_W9kzIJuqvRcC/bub_gb_W9kzIJuqvRcC.pdf,likely,not-started,
bub_gb_oNhWAAAAcAAJ,Laurentius Abstemius Reuerendo in Christo patri & denuo Paulo Episcopo Forosempronii S.P.D. ... aureum Syxti philosophi pythagorici libellum etc.,Lorenzo Astemio,1502,bub_upload,,latin,https://archive.org/details/bub_gb_oNhWAAAAcAAJ,PDF,https://archive.org/download/bub_gb_oNhWAAAAcAAJ/bub_gb_oNhWAAAAcAAJ.pdf,likely,not-started,
ita-bnc-in2-00001651-001,De intellectu et de causis mirabilium effectuum,"Cataneus, Andreas",1502,,,latin,https://archive.org/details/ita-bnc-in2-00001651-001,PDF,https://archive.org/download/ita-bnc-in2-00001651-001/ita-bnc-in2-00001651-001.pdf,likely,not-started,
ita-bnc-in1-00000965-001,De intellectu et de causis mirabilium effectuum,"Cataneus, Andreas",1502,,,latin,https://archive.org/details/ita-bnc-in1-00000965-001,PDF,https://archive.org/download/ita-bnc-in1-00000965-001/ita-bnc-in1-00000965-001.pdf,likely,not-started,
ita-bnc-in2-00000990-041,Oratio passionis dominicae,"Zane, Bernardo",1502,,,latin,https://archive.org/details/ita-bnc-in2-00000990-041,PDF,https://archive.org/download/ita-bnc-in2-00000990-041/ita-bnc-in2-00000990-041.pdf,likely,not-started,
bub_gb_00lHsigOyp8C,Vitas patrum,,1502,bub_upload,,latin,https://archive.org/details/bub_gb_00lHsigOyp8C,PDF,https://archive.org/download/bub_gb_00lHsigOyp8C/bub_gb_00lHsigOyp8C.pdf,likely,not-started,
bub_gb_0V0ScSwVEM0C,"De regimine principum. Egidius Impressum Venetiis per magistrum Bernardinum Vercelensem iussu domini Andree Toresani de Asula, xxiiii.1502",Egidio : Romano,1502,bub_upload,,latin,https://archive.org/details/bub_gb_0V0ScSwVEM0C,PDF,https://archive.org/download/bub_gb_0V0ScSwVEM0C/bub_gb_0V0ScSwVEM0C.pdf,likely,not-started,
bub_gb_35xsBOg2Mt0C,De FastisOuidius cum duobus commentariis Antonii de Fano & Pauli Marsi,Publius Ovidius Naso,1502,bub_upload,,latin,https://archive.org/details/bub_gb_35xsBOg2Mt0C,PDF,https://archive.org/download/bub_gb_35xsBOg2Mt0C/bub_gb_35xsBOg2Mt0C.pdf,likely,not-started,
bub_gb_4emenWiXQMgC,Antonij Trombete Patauini ... opus in Metaphysicam Arist. Padue in thomistas discussum cum questionibus perutilissimis antiquioribus adiectis in optimam seriem redactis & formalitates eiusdem cum additionibus & dilucidatione diligenti exculte,Antonio Trombetta,1502,bub_upload,,latin,https://archive.org/details/bub_gb_4emenWiXQMgC,PDF,https://archive.org/download/bub_gb_4emenWiXQMgC/bub_gb_4emenWiXQMgC.pdf,likely,not-started,
